date,open,high,low,close,volume,oi,instrument_token
2023-12-04 00:00:00+05:30,2623.3,2623.3,2623.3,2623.3,0,0,13240066
2023-12-04 00:00:00+05:30,1363.15,1363.15,1363.15,1363.15,0,40,13235970
2023-12-04 00:00:00+05:30,415.0,415.05,378.7,402.1,5160,4520,13234434
2023-12-04 00:00:00+05:30,608.0,608.0,288.1,320.1,14160,5000,13232642
2023-12-04 00:00:00+05:30,618.05,618.05,240.5,278.9,26200,6440,13231874
2023-12-04 00:00:00+05:30,278.5,285.05,196.05,230.9,84840,25560,13231362
2023-12-04 00:00:00+05:30,235.0,244.9,155.35,191.9,167800,53240,13230850
2023-12-04 00:00:00+05:30,460.75,502.75,119.2,150.4,1658640,266040,13230338
2023-12-04 00:00:00+05:30,298.35,316.7,86.35,114.95,1591320,241760,13229826
2023-12-04 00:00:00+05:30,400.4,401.25,58.55,85.2,9939120,1293600,13229314
2023-12-04 00:00:00+05:30,255.65,278.05,40.45,62.9,14989840,1247800,13228802
2023-12-04 00:00:00+05:30,307.85,320.1,27.4,43.85,32499800,2372120,13225218
2023-12-04 00:00:00+05:30,261.5,280.9,18.5,30.45,32370000,1994360,13224194
2023-12-04 00:00:00+05:30,215.7,242.6,13.15,20.65,67191720,3123240,13223682
2023-12-04 00:00:00+05:30,172.7,201.45,8.95,14.75,62960520,2205680,13223170
2023-12-04 00:00:00+05:30,100.05,165.9,6.8,10.75,108306200,3423600,13222658
2023-12-04 00:00:00+05:30,80.05,130.35,5.45,8.55,73321720,1781560,13221890
2023-12-04 00:00:00+05:30,34.25,100.0,4.6,6.85,95486800,3429800,13221378
2023-12-04 00:00:00+05:30,59.5,74.3,3.95,5.6,59509960,1554760,13220866
2023-12-04 00:00:00+05:30,28.05,50.0,3.0,5.0,66360280,2945680,13220354
2023-12-04 00:00:00+05:30,20.05,34.35,3.05,4.35,41479000,1256200,13219842
2023-12-04 00:00:00+05:30,10.1,25.55,2.75,3.9,47405080,2540240,13218818
2023-12-04 00:00:00+05:30,15.0,32.05,2.45,3.5,29860880,1024200,13218050
2023-12-04 00:00:00+05:30,20.0,21.4,2.2,3.1,40788880,3214120,13217538
2023-12-04 00:00:00+05:30,9.0,20.25,2.05,2.95,18336640,863720,13217026
2023-12-04 00:00:00+05:30,17.5,17.5,1.95,2.7,32883600,1328840,13215746
2023-12-04 00:00:00+05:30,20.0,20.0,1.75,2.55,15273080,530480,13214722
2023-12-04 00:00:00+05:30,10.05,15.8,1.65,2.4,39609000,3500400,13214210
2023-12-04 00:00:00+05:30,9.0,10.0,1.5,2.3,17312520,717800,13213698
2023-12-04 00:00:00+05:30,5.0,9.95,1.25,2.15,19619720,1577000,13213186
2023-12-04 00:00:00+05:30,1.45,5.7,1.35,1.95,9196720,610920,13212674
2023-12-04 00:00:00+05:30,7.4,7.4,0.15,1.85,20469840,1536720,13211650
2023-12-04 00:00:00+05:30,4.2,8.3,0.05,1.8,10559720,738040,13211138
2023-12-04 00:00:00+05:30,2.1,4.0,1.15,1.65,16346880,1403880,13210626
2023-12-04 00:00:00+05:30,5.0,5.65,1.1,1.7,5508200,337280,13209858
2023-12-04 00:00:00+05:30,6.5,6.5,1.0,1.6,11094200,882160,13209090
2023-12-04 00:00:00+05:30,1.2,2.9,0.95,1.55,3800120,158040,13208578
2023-12-04 00:00:00+05:30,2.9,2.9,0.9,1.5,20751120,1904800,13207554
2023-12-04 00:00:00+05:30,2.9,4.95,0.6,1.4,2191400,156960,13206786
2023-12-04 00:00:00+05:30,3.35,3.35,0.8,1.45,6172240,513680,13206018
2023-12-04 00:00:00+05:30,3.35,3.35,0.6,1.3,1950320,161760,13205506
2023-12-04 00:00:00+05:30,3.1,3.1,0.6,1.25,7067920,425520,13204994
2023-12-04 00:00:00+05:30,2.55,3.0,0.65,1.15,1847200,180520,13204482
2023-12-04 00:00:00+05:30,1.1,2.0,0.6,1.25,3987400,402400,13203970
2023-12-04 00:00:00+05:30,1.3,1.95,0.65,1.2,670560,75320,13203458
2023-12-04 00:00:00+05:30,1.85,2.45,0.6,1.15,2284040,106840,13202946
2023-12-04 00:00:00+05:30,0.8,3.2,0.3,1.05,847680,46680,13202434
2023-12-04 00:00:00+05:30,0.75,1.75,0.55,1.05,6269680,1475160,13201410
2023-12-04 00:00:00+05:30,1.2,1.7,0.5,1.05,868600,276320,13200898
2023-12-04 00:00:00+05:30,0.7,3.0,0.55,1.1,1155960,162640,13199874
2023-12-04 00:00:00+05:30,0.7,1.75,0.4,1.2,692600,210440,13199362
2023-12-04 00:00:00+05:30,0.8,1.75,0.55,1.2,1305280,156400,13198850
2023-12-04 00:00:00+05:30,1.25,1.75,0.3,1.15,531640,89720,13198338
2023-12-04 00:00:00+05:30,0.7,1.8,0.3,1.2,812880,84000,13197826
2023-12-04 00:00:00+05:30,0.55,1.75,0.5,1.2,499800,135240,13196034
2023-12-04 00:00:00+05:30,0.5,1.7,0.5,1.15,749480,98360,13195266
2023-12-04 00:00:00+05:30,1.1,1.7,0.5,1.1,414240,87200,13192706
2023-12-04 00:00:00+05:30,0.5,1.6,0.5,1.05,2669880,560440,13192194
2023-12-04 00:00:00+05:30,0.8,1.65,0.4,1.1,447240,102560,13191682
2023-12-04 00:00:00+05:30,0.5,1.65,0.5,1.1,549520,63560,13190146
2023-12-04 00:00:00+05:30,0.5,2.45,0.3,1.15,309120,87720,13189634
2023-12-04 00:00:00+05:30,0.4,2.1,0.4,1.05,715240,67200,13189122
2023-12-04 00:00:00+05:30,0.5,1.7,0.35,1.05,289920,80160,13188610
2023-12-04 00:00:00+05:30,0.9,1.6,0.4,1.1,552800,109120,13187586
2023-12-04 00:00:00+05:30,0.4,1.65,0.35,1.1,192360,99920,13186306
2023-12-04 00:00:00+05:30,0.75,1.6,0.35,1.05,672440,196520,13185538
2023-12-04 00:00:00+05:30,0.4,1.5,0.35,0.95,376880,191280,13178114
2023-12-04 00:00:00+05:30,0.5,1.45,0.35,0.95,1654960,520680,13177602
2023-12-04 00:00:00+05:30,0.2,1.6,0.2,1.1,200160,107520,13176578
2023-12-04 00:00:00+05:30,0.35,1.55,0.3,1.1,476320,150880,13176066
2023-12-04 00:00:00+05:30,0.35,1.55,0.3,1.05,355960,89640,13172738
2023-12-04 00:00:00+05:30,0.8,1.5,0.3,0.95,261000,86520,13168642
2023-12-04 00:00:00+05:30,0.45,1.55,0.3,1.05,550960,227840,13165058
2023-12-04 00:00:00+05:30,0.35,1.4,0.3,0.9,626480,184480,13163010
2023-12-04 00:00:00+05:30,0.3,1.5,0.3,1.05,265000,98720,13157890
2023-12-04 00:00:00+05:30,0.55,1.55,0.3,1.05,292640,106400,13155074
2023-12-04 00:00:00+05:30,0.7,1.5,0.3,1.0,363120,128280,13152514
2023-12-04 00:00:00+05:30,0.5,1.35,0.3,0.95,472240,166240,13151490
2023-12-04 00:00:00+05:30,0.7,1.25,0.35,0.85,614920,293360,13150978
2023-12-04 00:00:00+05:30,0.7,1.2,0.45,0.95,1506440,881560,13150466
